checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,default
0 - 200 DM,9,Existing paid,Business,1391,< 100 DM,1 - 4 years,2,Male : Married/Widowed,None,1,Real estate,27,Bank,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,15,Critical account,Radio/TV,1537,Unknown / No savings,>= 7 years,4,Male : Single,Guarantor,4,Real estate,50,None,Own,2,Skilled employee,1,Yes,Yes,0
0 - 200 DM,36,No credits / All paid,Business,1953,< 100 DM,>= 7 years,4,Male : Single,None,4,Unknown / No property,61,None,Free,1,Management / Highly qualified,1,Yes,Yes,1
0 - 200 DM,48,No credits / All paid,Business,14421,< 100 DM,1 - 4 years,2,Male : Single,None,2,Car or other,25,None,Own,1,Skilled employee,1,Yes,Yes,1
No checking account,24,Existing paid,Radio/TV,3181,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,26,None,Own,1,Skilled employee,1,Yes,Yes,0
No checking account,27,Existing paid,Repairs,5190,Unknown / No savings,>= 7 years,4,Male : Single,None,4,Building society savings / Life insurance,48,None,Own,4,Skilled employee,2,Yes,Yes,0
No checking account,12,Existing paid,Radio/TV,2171,< 100 DM,< 1 year,2,Female : Divorced/Separated/Married,None,2,Car or other,29,Bank,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,12,Existing paid,Car (new),1007,>= 1000 DM,1 - 4 years,4,Male : Married/Widowed,None,1,Real estate,22,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,36,Existing paid,Education,1819,< 100 DM,1 - 4 years,4,Male : Single,None,4,Unknown / No property,37,Stores,Free,1,Skilled employee,1,Yes,Yes,1
No checking account,36,Existing paid,Radio/TV,2394,Unknown / No savings,1 - 4 years,4,Female : Divorced/Separated/Married,None,4,Car or other,25,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,36,Existing paid,Car (used),8133,< 100 DM,1 - 4 years,1,Female : Divorced/Separated/Married,None,2,Building society savings / Life insurance,30,Bank,Own,1,Skilled employee,1,No,Yes,0
No checking account,7,Critical account,Radio/TV,730,Unknown / No savings,>= 7 years,4,Male : Single,None,2,Building society savings / Life insurance,46,None,Rent,2,Unskilled - resident,1,Yes,Yes,0
< 0 DM,8,Critical account,Others,1164,< 100 DM,>= 7 years,3,Male : Single,None,4,Unknown / No property,51,Bank,Free,2,Management / Highly qualified,2,Yes,Yes,0
0 - 200 DM,42,Critical account,Business,5954,< 100 DM,4 - 7 years,2,Female : Divorced/Separated/Married,None,1,Real estate,41,Bank,Own,2,Unskilled - resident,1,No,Yes,0
< 0 DM,36,Existing paid,Education,1977,Unknown / No savings,>= 7 years,4,Male : Single,None,4,Unknown / No property,40,None,Own,1,Management / Highly qualified,1,Yes,Yes,1
< 0 DM,12,Critical account,Car (used),1526,< 100 DM,>= 7 years,4,Male : Single,None,4,Unknown / No property,66,None,Free,2,Management / Highly qualified,1,No,Yes,0
< 0 DM,42,Existing paid,Radio/TV,3965,< 100 DM,< 1 year,4,Male : Single,None,3,Car or other,34,None,Own,1,Skilled employee,1,No,Yes,1
0 - 200 DM,11,Delay in past,Radio/TV,4771,< 100 DM,4 - 7 years,2,Male : Single,None,4,Building society savings / Life insurance,51,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,54,No credits / All paid,Car (used),9436,Unknown / No savings,1 - 4 years,2,Male : Single,None,2,Building society savings / Life insurance,39,None,Own,1,Unskilled - resident,2,No,Yes,0
0 - 200 DM,30,Existing paid,Furniture/Equipment,3832,< 100 DM,< 1 year,2,Male : Married/Widowed,None,1,Building society savings / Life insurance,22,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,24,Existing paid,Radio/TV,5943,Unknown / No savings,< 1 year,1,Female : Divorced/Separated/Married,None,1,Car or other,44,None,Own,2,Skilled employee,1,Yes,Yes,1
No checking account,15,Existing paid,Radio/TV,1213,500 - 1000 DM,>= 7 years,4,Male : Single,None,3,Building society savings / Life insurance,47,Stores,Own,1,Skilled employee,1,Yes,Yes,0
No checking account,18,Existing paid,Business,1568,100 - 500 DM,1 - 4 years,3,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,24,None,Rent,1,Unskilled - resident,1,No,Yes,0
< 0 DM,24,Existing paid,Others,1755,< 100 DM,>= 7 years,4,Female : Divorced/Separated/Married,Guarantor,4,Real estate,58,None,Own,1,Unskilled - resident,1,Yes,Yes,0
< 0 DM,10,Existing paid,Radio/TV,2315,< 100 DM,>= 7 years,3,Male : Single,None,4,Real estate,52,None,Own,1,Unskilled - resident,1,No,Yes,0
No checking account,12,Critical account,Business,1412,< 100 DM,1 - 4 years,4,Female : Divorced/Separated/Married,Guarantor,2,Real estate,29,None,Own,2,Management / Highly qualified,1,Yes,Yes,0
0 - 200 DM,18,Critical account,Furniture/Equipment,1295,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,1,Building society savings / Life insurance,27,None,Own,2,Skilled employee,1,No,Yes,0
0 - 200 DM,36,Existing paid,Education,12612,100 - 500 DM,1 - 4 years,1,Male : Single,None,4,Unknown / No property,47,None,Free,1,Skilled employee,2,Yes,Yes,1
< 0 DM,18,Existing paid,Car (new),2249,100 - 500 DM,4 - 7 years,4,Male : Single,None,3,Car or other,30,None,Own,1,Management / Highly qualified,2,Yes,Yes,0
< 0 DM,12,No credits / All paid,Repairs,1108,< 100 DM,4 - 7 years,4,Male : Single,None,3,Real estate,28,None,Own,2,Skilled employee,1,No,Yes,1
No checking account,12,Critical account,Radio/TV,618,< 100 DM,>= 7 years,4,Male : Single,None,4,Real estate,56,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,12,Critical account,Car (used),1409,< 100 DM,>= 7 years,4,Male : Single,None,3,Real estate,54,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,12,Critical account,Radio/TV,797,Unknown / No savings,>= 7 years,4,Female : Divorced/Separated/Married,None,3,Building society savings / Life insurance,33,Bank,Own,1,Unskilled - resident,2,No,Yes,1
>= 200 DM,24,Critical account,Furniture/Equipment,3617,Unknown / No savings,>= 7 years,4,Male : Single,Co-applicant,4,Unknown / No property,20,None,Rent,2,Skilled employee,1,No,Yes,0
0 - 200 DM,12,Existing paid,Car (new),1318,>= 1000 DM,>= 7 years,4,Male : Single,None,4,Real estate,54,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,54,No credits / All paid,Business,15945,< 100 DM,< 1 year,3,Male : Single,None,4,Unknown / No property,58,None,Rent,1,Skilled employee,1,Yes,Yes,1
No checking account,12,Critical account,Education,2012,Unknown / No savings,4 - 7 years,4,Female : Divorced/Separated/Married,None,2,Car or other,61,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,18,Existing paid,Business,2622,100 - 500 DM,1 - 4 years,4,Male : Single,None,4,Car or other,34,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,36,Critical account,Radio/TV,2337,< 100 DM,>= 7 years,4,Male : Single,None,4,Real estate,36,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,20,Delay in past,Car (used),7057,Unknown / No savings,4 - 7 years,3,Male : Single,None,4,Building society savings / Life insurance,36,Bank,Rent,2,Management / Highly qualified,2,Yes,Yes,0
No checking account,24,Existing paid,Car (new),1469,100 - 500 DM,>= 7 years,4,Male : Married/Widowed,None,4,Real estate,41,None,Rent,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,36,Existing paid,Radio/TV,2323,< 100 DM,4 - 7 years,4,Male : Single,None,4,Car or other,24,None,Rent,1,Skilled employee,1,No,Yes,0
No checking account,6,Delay in past,Radio/TV,932,< 100 DM,1 - 4 years,3,Female : Divorced/Separated/Married,None,2,Real estate,24,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,9,Critical account,Furniture/Equipment,1919,< 100 DM,4 - 7 years,4,Male : Single,None,3,Car or other,35,None,Rent,1,Skilled employee,1,Yes,Yes,0
No checking account,12,Existing paid,Car (used),2445,Unknown / No savings,< 1 year,2,Male : Married/Widowed,None,4,Car or other,26,None,Rent,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,24,Critical account,Others,11938,< 100 DM,1 - 4 years,2,Male : Single,Co-applicant,3,Car or other,39,None,Own,2,Management / Highly qualified,2,Yes,Yes,1
No checking account,18,All paid this bank,Car (new),6458,< 100 DM,>= 7 years,2,Male : Single,None,4,Unknown / No property,39,Bank,Own,2,Management / Highly qualified,2,Yes,Yes,1
0 - 200 DM,12,Existing paid,Car (new),6078,< 100 DM,4 - 7 years,2,Male : Single,None,2,Car or other,32,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,24,Existing paid,Furniture/Equipment,7721,Unknown / No savings,< 1 year,1,Female : Divorced/Separated/Married,None,2,Building society savings / Life insurance,30,None,Own,1,Skilled employee,1,Yes,No,0
0 - 200 DM,14,Existing paid,Business,1410,500 - 1000 DM,>= 7 years,1,Male : Married/Widowed,None,2,Real estate,35,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,6,Delay in past,Business,1449,100 - 500 DM,>= 7 years,1,Male : Divorced/Separated,None,2,Car or other,31,Bank,Own,2,Skilled employee,2,No,Yes,0
>= 200 DM,15,Existing paid,Education,392,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,23,None,Rent,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,18,Existing paid,Car (new),6260,< 100 DM,4 - 7 years,3,Male : Single,None,3,Real estate,28,None,Rent,1,Unskilled - resident,1,No,Yes,0
No checking account,36,Critical account,Car (new),7855,< 100 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,2,Real estate,25,Stores,Own,2,Skilled employee,1,Yes,Yes,1
< 0 DM,12,Existing paid,Radio/TV,1680,500 - 1000 DM,>= 7 years,3,Male : Married/Widowed,None,1,Real estate,35,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,48,Critical account,Radio/TV,3578,Unknown / No savings,>= 7 years,4,Male : Single,None,1,Real estate,47,None,Own,1,Skilled employee,1,Yes,Yes,0
< 0 DM,42,Existing paid,Radio/TV,7174,Unknown / No savings,4 - 7 years,4,Female : Divorced/Separated/Married,None,3,Car or other,30,None,Own,1,Management / Highly qualified,1,Yes,Yes,1
< 0 DM,10,Critical account,Furniture/Equipment,2132,Unknown / No savings,< 1 year,2,Female : Divorced/Separated/Married,Co-applicant,3,Real estate,27,None,Rent,2,Skilled employee,1,No,No,0
< 0 DM,33,Critical account,Furniture/Equipment,4281,500 - 1000 DM,1 - 4 years,1,Female : Divorced/Separated/Married,None,4,Car or other,23,None,Own,2,Skilled employee,1,No,Yes,1
0 - 200 DM,12,Critical account,Car (new),2366,500 - 1000 DM,4 - 7 years,3,Male : Divorced/Separated,None,3,Car or other,36,None,Own,1,Management / Highly qualified,1,Yes,Yes,0
< 0 DM,21,Existing paid,Radio/TV,1835,< 100 DM,1 - 4 years,3,Female : Divorced/Separated/Married,None,2,Real estate,25,None,Own,2,Skilled employee,1,Yes,Yes,1
No checking account,24,Critical account,Car (used),3868,< 100 DM,>= 7 years,4,Female : Divorced/Separated/Married,None,2,Car or other,41,None,Rent,2,Management / Highly qualified,1,Yes,Yes,0
No checking account,12,Existing paid,Furniture/Equipment,1768,< 100 DM,1 - 4 years,3,Male : Single,None,2,Real estate,24,None,Rent,1,Unskilled - resident,1,No,Yes,0
>= 200 DM,10,Critical account,Car (new),781,< 100 DM,>= 7 years,4,Male : Single,None,4,Unknown / No property,63,None,Free,2,Skilled employee,1,Yes,Yes,0
0 - 200 DM,18,Existing paid,Furniture/Equipment,1924,Unknown / No savings,< 1 year,4,Female : Divorced/Separated/Married,None,3,Real estate,27,None,Rent,1,Skilled employee,1,No,Yes,1
< 0 DM,12,Critical account,Car (new),2121,< 100 DM,1 - 4 years,4,Male : Single,None,2,Building society savings / Life insurance,30,None,Own,2,Skilled employee,1,No,Yes,0
< 0 DM,12,Existing paid,Radio/TV,701,< 100 DM,1 - 4 years,4,Male : Married/Widowed,None,2,Real estate,40,None,Own,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,12,Existing paid,Repairs,639,< 100 DM,1 - 4 years,4,Male : Single,None,2,Car or other,30,None,Own,1,Skilled employee,1,No,Yes,1
0 - 200 DM,12,Critical account,Car (used),1860,< 100 DM,Unemployed,4,Male : Single,None,2,Car or other,34,None,Own,2,Management / Highly qualified,1,Yes,Yes,0
< 0 DM,12,Critical account,Car (new),3499,< 100 DM,1 - 4 years,3,Female : Divorced/Separated/Married,Co-applicant,2,Real estate,29,None,Own,2,Skilled employee,1,No,Yes,1
0 - 200 DM,48,Existing paid,Car (new),8487,Unknown / No savings,4 - 7 years,1,Female : Divorced/Separated/Married,None,2,Car or other,24,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,36,Delay in past,Education,6887,< 100 DM,1 - 4 years,4,Male : Single,None,3,Building society savings / Life insurance,29,Stores,Own,1,Skilled employee,1,Yes,Yes,1
No checking account,15,Existing paid,Furniture/Equipment,2708,< 100 DM,< 1 year,2,Male : Single,None,3,Building society savings / Life insurance,27,Bank,Own,2,Unskilled - resident,1,No,Yes,0
No checking account,18,Existing paid,Furniture/Equipment,1984,< 100 DM,1 - 4 years,4,Male : Single,None,4,Unknown / No property,47,Bank,Free,2,Skilled employee,1,No,Yes,0
No checking account,60,Existing paid,Radio/TV,10144,100 - 500 DM,4 - 7 years,2,Female : Divorced/Separated/Married,None,4,Real estate,21,None,Own,1,Skilled employee,1,Yes,Yes,0
No checking account,12,Critical account,Radio/TV,1240,Unknown / No savings,>= 7 years,4,Female : Divorced/Separated/Married,None,2,Real estate,38,None,Own,2,Skilled employee,1,Yes,Yes,0
No checking account,27,Delay in past,Car (used),8613,>= 1000 DM,1 - 4 years,2,Male : Single,None,2,Car or other,27,None,Own,2,Skilled employee,1,No,Yes,0
0 - 200 DM,12,Existing paid,Radio/TV,766,500 - 1000 DM,1 - 4 years,4,Male : Single,None,3,Real estate,66,None,Own,1,Unskilled - resident,1,No,Yes,1
0 - 200 DM,15,Critical account,Radio/TV,2728,Unknown / No savings,4 - 7 years,4,Male : Single,Guarantor,2,Real estate,35,Bank,Own,3,Skilled employee,1,Yes,Yes,0
>= 200 DM,12,Existing paid,Radio/TV,1881,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,2,Car or other,44,None,Rent,1,Unskilled - resident,1,Yes,Yes,0
>= 200 DM,6,Existing paid,Car (new),709,>= 1000 DM,< 1 year,2,Male : Married/Widowed,None,2,Real estate,27,None,Own,1,Unemployed / Unskilled - non-resident,1,No,No,0
0 - 200 DM,36,Existing paid,Radio/TV,4795,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,1,Unknown / No property,30,None,Own,1,Management / Highly qualified,1,Yes,Yes,0
< 0 DM,27,Existing paid,Radio/TV,3416,< 100 DM,1 - 4 years,3,Male : Single,None,2,Car or other,27,None,Own,1,Management / Highly qualified,1,No,Yes,0
< 0 DM,18,Existing paid,Furniture/Equipment,2462,< 100 DM,1 - 4 years,2,Male : Single,None,2,Car or other,22,None,Own,1,Skilled employee,1,No,Yes,1
No checking account,21,Critical account,Furniture/Equipment,2288,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,23,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,48,All paid this bank,Business,3566,100 - 500 DM,4 - 7 years,4,Male : Single,None,2,Car or other,30,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,6,Critical account,Car (new),860,< 100 DM,>= 7 years,1,Female : Divorced/Separated/Married,None,4,Unknown / No property,39,None,Own,2,Skilled employee,1,Yes,Yes,0
No checking account,12,Critical account,Car (new),682,100 - 500 DM,4 - 7 years,4,Female : Divorced/Separated/Married,None,3,Car or other,51,None,Own,2,Skilled employee,1,Yes,Yes,0
< 0 DM,36,Critical account,Furniture/Equipment,5371,< 100 DM,1 - 4 years,3,Male : Single,Guarantor,2,Building society savings / Life insurance,28,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,18,Critical account,Radio/TV,1582,>= 1000 DM,>= 7 years,4,Male : Single,None,4,Car or other,46,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,6,Existing paid,Radio/TV,1346,100 - 500 DM,>= 7 years,2,Male : Single,None,4,Unknown / No property,42,Bank,Free,1,Skilled employee,2,Yes,Yes,0
No checking account,10,Existing paid,Radio/TV,1924,< 100 DM,1 - 4 years,1,Male : Single,None,4,Building society savings / Life insurance,38,None,Own,1,Skilled employee,1,Yes,No,0
>= 200 DM,36,Existing paid,Radio/TV,5848,< 100 DM,1 - 4 years,4,Male : Single,None,1,Car or other,24,None,Own,1,Skilled employee,1,No,Yes,0
